epoch,batch,loss,landmark,angular_deg,gaze_consist,shape,lr
4,1,2.971452,2.952206,22.3341,0.100918,0.072394,0.00034549
4,2,2.884826,2.866030,21.9379,0.098902,0.075389,0.00034549
4,16,3.419090,3.398371,23.9837,0.097293,0.079215,0.00034549
4,17,2.481517,2.462241,22.6426,0.095611,0.082735,0.00034549
4,18,2.408179,2.388426,22.9670,0.095670,0.080799,0.00034549
4,32,2.657430,2.638332,22.3810,0.097141,0.081324,0.00034549
4,33,2.289594,2.271955,20.3994,0.097833,0.080937,0.00034549
4,34,2.137829,2.121265,19.2854,0.096916,0.081450,0.00034549
4,47,2.479284,2.460738,21.5440,0.096272,0.079207,0.00034549
4,48,2.596937,2.579812,19.9145,0.094820,0.080412,0.00034549
4,49,2.063292,2.047944,17.8841,0.093377,0.079028,0.00034549
4,63,2.390448,2.373968,19.1360,0.092625,0.079135,0.00034549
4,64,2.348082,2.331575,19.2540,0.092008,0.078029,0.00034549
4,65,2.480497,2.463898,19.1445,0.091362,0.077875,0.00034549
4,79,2.115315,2.099941,17.6497,0.090529,0.077060,0.00034549
4,80,2.310030,2.293547,19.0291,0.090171,0.077050,0.00034549
4,81,2.166444,2.147881,21.6583,0.090005,0.077446,0.00034549
4,94,2.227733,2.211771,18.5617,0.090008,0.078157,0.00034549
4,95,2.043584,2.027054,19.2351,0.089853,0.079567,0.00034549
4,96,2.251098,2.234385,19.4572,0.089840,0.079882,0.00034549
4,110,1.882789,1.867238,18.1375,0.089107,0.079252,0.00034549
4,111,2.255835,2.238595,20.0304,0.089026,0.081007,0.00034549
4,112,2.082398,2.062910,22.5996,0.089675,0.080598,0.00034549
4,126,2.286952,2.269930,19.7001,0.089024,0.080741,0.00034549
4,127,2.395079,2.379266,18.6922,0.088638,0.080634,0.00034549
4,141,3.401511,3.377135,28.6024,0.088778,0.080114,0.00034549
4,142,3.145298,3.125043,23.5407,0.088655,0.080481,0.00034549
4,143,2.633628,2.618534,17.5857,0.088365,0.079856,0.00034549
4,157,2.558776,2.543041,18.4163,0.088207,0.079193,0.00034549
4,158,2.789718,2.773513,18.8751,0.088408,0.078813,0.00034549
4,159,3.858437,3.840255,21.0642,0.088650,0.078166,0.00034549
4,172,2.211312,2.191138,23.3195,0.088405,0.077136,0.00034549
4,173,2.907664,2.890661,20.0485,0.088287,0.076741,0.00034549
4,174,2.238506,2.223342,17.6419,0.088178,0.076065,0.00034549
4,188,2.624884,2.606920,20.8517,0.088688,0.075626,0.00034549
4,189,2.427832,2.411216,19.4037,0.088775,0.075121,0.00034549
4,190,4.241219,4.222489,21.4843,0.088741,0.076727,0.00034549
4,204,1.965244,1.950005,17.7149,0.088498,0.076005,0.00034549
4,205,2.153965,2.138687,17.7148,0.088233,0.076093,0.00034549
4,206,2.286573,2.271747,16.7227,0.087869,0.077495,0.00034549
4,219,1.918766,1.902514,18.5931,0.087745,0.077794,0.00034549
4,220,2.381162,2.365432,18.2989,0.087800,0.078546,0.00034549
4,221,1.819118,1.800921,21.1495,0.088099,0.078034,0.00034549
4,235,2.030277,2.008639,25.1075,0.088234,0.077615,0.00034549
4,236,1.793280,1.774400,21.9878,0.088217,0.077095,0.00034549
4,237,3.675047,3.654687,23.4542,0.088336,0.076564,0.00034549
4,251,1.904557,1.888022,19.0311,0.088154,0.076558,0.00034549
4,252,2.111995,2.096037,18.6824,0.087872,0.076574,0.00034549
4,266,1.918215,1.901141,19.7195,0.087449,0.076165,0.00034549
4,267,1.987314,1.970490,19.4971,0.087166,0.076110,0.00034549
4,268,1.926162,1.910423,18.3942,0.086933,0.076090,0.00034549
4,282,2.335259,2.317705,20.5965,0.087489,0.076104,0.00034549
4,283,2.344331,2.325266,22.5798,0.088199,0.075876,0.00034549
4,284,1.959329,1.943278,18.5850,0.088478,0.076691,0.00034549
4,297,1.722196,1.704139,21.4568,0.088156,0.076260,0.00034549
4,298,2.533512,2.518116,17.8944,0.087947,0.076251,0.00034549
4,299,1.997880,1.981946,18.5985,0.087760,0.076152,0.00034549
4,313,2.054327,2.039310,17.4232,0.087480,0.076274,0.00034549
4,314,2.095149,2.078647,19.2690,0.087201,0.075929,0.00034549
4,315,2.063648,2.045323,21.5411,0.086835,0.075507,0.00034549
4,329,2.551059,2.534836,18.9118,0.086777,0.075763,0.00034549
4,330,2.002093,1.986841,17.7229,0.086595,0.075482,0.00034549
4,331,2.266876,2.253011,16.1319,0.086284,0.075026,0.00034549
4,344,2.349951,2.336181,15.9383,0.086143,0.074745,0.00034549
4,345,2.399260,2.383987,17.7825,0.085942,0.074465,0.00034549
4,346,2.665573,2.650203,18.1895,0.085855,0.074452,0.00034549
4,360,1.915958,1.900644,17.7802,0.085643,0.074283,0.00034549
4,361,2.029746,2.016702,15.1910,0.085388,0.074350,0.00034549
4,362,3.485246,3.468903,19.0013,0.085174,0.074395,0.00034549
4,376,2.458897,2.443166,18.2912,0.085214,0.075007,0.00034549
4,377,2.368191,2.352133,18.7155,0.085344,0.075054,0.00034549
4,391,2.088098,2.075161,15.0749,0.085200,0.074950,0.00034549
4,392,2.584783,2.569202,18.2296,0.085105,0.074941,0.00034549
4,393,2.049594,2.032537,19.8564,0.085115,0.074761,0.00034549
4,407,2.585425,2.569419,18.3398,0.085060,0.074656,0.00034549
4,408,2.300719,2.283888,19.4881,0.084996,0.074535,0.00034549
4,409,3.050609,3.029676,24.0194,0.085019,0.074297,0.00034549
4,422,1.782677,1.764487,21.2023,0.084838,0.074099,0.00034549
4,423,1.859877,1.846449,15.5943,0.084693,0.073851,0.00034549
4,424,2.198667,2.184448,16.5539,0.084507,0.073627,0.00034549
4,438,1.736732,1.721105,18.1887,0.084370,0.073496,0.00034549
4,439,1.834854,1.819287,18.0061,0.084331,0.073455,0.00034549
4,440,1.971466,1.955755,18.4151,0.084184,0.073505,0.00034549
4,454,2.201109,2.184384,19.9794,0.084191,0.073414,0.00034549
4,455,2.410608,2.394010,19.4900,0.084219,0.073401,0.00034549
4,456,3.607560,3.588628,21.6891,0.084602,0.073200,0.00034549
4,469,2.531867,2.510678,24.8064,0.084423,0.072976,0.00034549
4,470,2.358644,2.342669,18.6664,0.084295,0.073034,0.00034549
4,471,2.283977,2.266918,19.9514,0.084154,0.072921,0.00034549
4,485,2.211198,2.190349,24.4570,0.083979,0.072835,0.00034549
4,486,2.422218,2.401486,24.5048,0.083891,0.072915,0.00034549
4,487,2.312520,2.289144,27.2466,0.083776,0.073008,0.00034549
4,501,2.154140,2.133776,23.9186,0.083726,0.073022,0.00034549
4,502,2.128299,2.108390,23.1884,0.083810,0.072933,0.00034549
4,516,2.314795,2.298096,19.4662,0.083800,0.072870,0.00034549
4,517,2.109452,2.094966,16.8667,0.083699,0.072998,0.00034549
4,518,2.576992,2.560037,19.5610,0.083591,0.073280,0.00034549
4,532,1.831544,1.816126,17.9181,0.083469,0.073202,0.00034549
4,533,2.166130,2.150818,17.6426,0.083357,0.073397,0.00034549
4,534,2.388894,2.372862,18.8984,0.083240,0.073690,0.00034549
4,547,2.428929,2.413795,17.5177,0.083122,0.073892,0.00034549
4,548,2.162262,2.147320,17.2078,0.083055,0.073937,0.00034549
4,549,2.068017,2.049431,21.2731,0.083069,0.073891,0.00034549
4,563,3.158545,3.140059,20.9829,0.083101,0.073708,0.00034549
4,564,1.791296,1.776598,16.9988,0.083038,0.073547,0.00034549
4,565,1.785137,1.769268,18.2154,0.083064,0.073423,0.00034549
4,579,3.026051,3.010461,18.0616,0.083162,0.073413,0.00034549
4,580,2.001491,1.985301,18.8496,0.083161,0.073312,0.00034549
4,581,2.197973,2.184196,15.8986,0.083109,0.073186,0.00034549
4,594,2.392985,2.376507,19.3180,0.083019,0.073139,0.00034549
4,595,2.462011,2.444555,20.1244,0.083052,0.073064,0.00034549
4,596,2.440684,2.423312,20.1594,0.083076,0.072968,0.00034549
4,610,2.874690,2.857625,19.9592,0.083072,0.073102,0.00034549
4,611,2.142339,2.127597,17.1452,0.082979,0.073048,0.00034549
4,612,2.227440,2.210757,19.1212,0.082897,0.073318,0.00034549
4,626,2.396942,2.381326,18.2088,0.082884,0.073649,0.00034549
4,627,2.665777,2.650251,18.0679,0.082901,0.074044,0.00034549
4,641,2.318108,2.304170,16.2744,0.082849,0.074076,0.00034549
4,642,2.616998,2.600916,18.7864,0.082918,0.074402,0.00034549
4,643,2.137300,2.124619,14.7917,0.082878,0.074438,0.00034549
4,657,2.029794,2.015259,16.9456,0.082788,0.074449,0.00034549
4,658,3.090618,3.071915,21.7965,0.082858,0.075015,0.00034549
4,659,3.524910,3.503180,25.3854,0.082885,0.075111,0.00034549
4,672,4.236887,4.219507,19.8966,0.082949,0.074890,0.00034549
4,673,2.045620,2.031406,16.6342,0.082885,0.074929,0.00034549
4,674,1.951488,1.936432,17.6301,0.082844,0.074760,0.00034549
4,688,2.322406,2.307033,17.9809,0.082748,0.074777,0.00034549
4,689,2.072346,2.058766,15.7614,0.082620,0.074631,0.00034549
4,690,1.912444,1.899245,15.6044,0.082481,0.074565,0.00034549
4,704,1.750203,1.737969,14.2655,0.082378,0.074581,0.00034549
4,705,2.052184,2.039089,15.1443,0.082315,0.074520,0.00034549
4,706,1.767725,1.755623,14.0233,0.082374,0.074533,0.00034549
5,1,2.530555,2.514915,18.1877,0.080263,0.075698,0.00009549
