epoch,stage,phase,lr,train_total,train_landmark,train_angular_deg,train_reproj,train_mask,train_ray_target,train_pose,train_translation,val_total,val_landmark,val_angular_deg,val_landmark_px
1,1,1,9.62e-04,2.244984,0.000641,43.4378,0.000000,0.000000,0.000000,0.378792,0.089057,1.262342,0.000403,42.6649,7.9238
2,1,1,8.54e-04,1.042552,0.000310,43.3457,0.000000,0.000000,0.000000,0.133997,0.007903,0.768202,0.000245,42.7049,4.8028
3,1,1,6.91e-04,0.764339,0.000227,43.3166,0.000000,0.000000,0.000000,0.097313,0.005902,0.697652,0.000222,42.6534,4.3759
4,1,1,5.00e-04,0.638641,0.000191,43.2991,0.000000,0.000000,0.000000,0.077214,0.004483,0.669008,0.000213,42.6114,4.1748
5,1,1,3.09e-04,0.555931,0.000167,43.2774,0.000000,0.000000,0.000000,0.061769,0.003424,0.538453,0.000172,42.5758,3.3731
6,1,1,1.46e-04,0.504662,0.000153,43.2624,0.000000,0.000000,0.000000,0.049308,0.002719,0.504615,0.000161,42.5698,3.1580
7,1,1,3.81e-05,0.468933,0.000143,43.2551,0.000000,0.000000,0.000000,0.041402,0.002310,0.479101,0.000153,42.5622,2.9977
8,1,1,0.00e+00,0.458960,0.000140,43.2519,0.000000,0.000000,0.000000,0.040673,0.002169,0.470565,0.000150,42.5674,2.9468
9,1,2,2.85e-04,0.481119,0.000139,43.2538,0.000000,0.000000,0.000000,0.042046,0.002460,0.490799,0.000157,42.5586,3.0749
10,1,2,2.44e-04,0.463262,0.000135,43.2489,0.000000,0.000000,0.000000,0.039100,0.002338,0.472356,0.000151,42.5481,2.9604
11,1,2,1.83e-04,0.442350,0.000129,43.2435,0.000000,0.000000,0.000000,0.035449,0.002168,0.504182,0.000161,42.5358,3.1548
12,1,2,1.17e-04,0.425593,0.000125,43.2363,0.000000,0.000000,0.000000,0.031373,0.001995,0.451497,0.000144,42.5324,2.8314
13,1,2,5.65e-05,0.409440,0.000121,43.2377,0.000000,0.000000,0.000000,0.028573,0.001837,0.425558,0.000136,42.5442,2.6698
14,1,2,1.49e-05,0.401091,0.000119,43.2399,0.000000,0.000000,0.000000,0.027308,0.001744,0.420869,0.000134,42.5535,2.6398
15,1,2,0.00e+00,0.403303,0.000119,43.2399,0.000000,0.000000,0.000000,0.029326,0.001713,0.421107,0.000134,42.5444,2.6411
