epoch,batch,loss,landmark,angular_deg,gaze_consist,shape,ray_target,lr
1,1,39.412636,39.359245,70.9942,0.480689,0.516192,0.000000,0.00100000
1,2,37.771645,37.718994,69.7547,0.481726,0.521327,0.000000,0.00100000
1,3,38.477695,38.424999,70.4185,0.482830,0.509979,0.000000,0.00100000
1,4,36.901714,36.839760,84.3489,0.482320,0.509936,0.000000,0.00100000
1,63,36.696243,36.641563,73.7812,0.482089,0.506341,0.000000,0.00100000
1,64,36.619720,36.563831,74.7550,0.481786,0.505943,0.000000,0.00100000
1,65,23.460609,23.385359,108.9914,0.480814,0.497116,0.000000,0.00100000
1,66,15.147892,15.089173,77.5860,0.481194,0.464656,0.000000,0.00100000
1,126,11.857220,11.798474,72.8057,0.487945,0.428226,0.000000,0.00100000
1,127,10.709242,10.638742,95.0174,0.473904,0.390585,0.000000,0.00100000
1,128,9.269102,9.216361,68.1949,0.469559,0.362028,0.000000,0.00100000
1,129,9.283294,9.219350,84.7051,0.466928,0.336784,0.000000,0.00100000
1,188,10.060275,9.993340,83.8437,0.479089,0.316595,0.000000,0.00100000
1,189,8.063236,7.991697,97.5792,0.484468,0.300270,0.000000,0.00100000
1,190,8.360220,8.303639,75.7549,0.483248,0.282012,0.000000,0.00100000
1,191,10.377728,10.292884,107.5209,0.486802,0.271365,0.000000,0.00100000
1,251,8.936602,8.875341,82.5164,0.484010,0.259936,0.000000,0.00100000
1,252,9.547855,9.484084,85.8337,0.491368,0.249637,0.000000,0.00100000
1,253,10.546477,10.479115,86.5374,0.485209,0.239548,0.000000,0.00100000
1,254,9.312334,9.245951,95.6361,0.485037,0.229727,0.000000,0.00100000
1,313,9.039560,8.975077,90.6800,0.491902,0.220830,0.000000,0.00100000
1,314,8.147432,8.066074,101.5671,0.492616,0.213797,0.000000,0.00100000
1,315,9.119531,9.068026,65.0340,0.490043,0.207568,0.000000,0.00100000
1,316,8.238721,8.182106,73.2267,0.492557,0.203800,0.000000,0.00100000
1,376,9.625429,9.552591,98.6925,0.493983,0.202553,0.000000,0.00100000
1,377,9.116089,9.046227,94.8764,0.486567,0.198732,0.000000,0.00100000
1,378,8.607650,8.544146,83.3968,0.490052,0.192643,0.000000,0.00100000
1,379,9.485448,9.406316,115.3127,0.489029,0.187280,0.000000,0.00100000
1,438,8.403048,8.331394,92.3463,0.490388,0.182910,0.000000,0.00100000
