epoch,phase,lr,train_total,train_landmark,train_angular_deg,train_reproj,train_mask,train_ray_target,train_pose,train_translation,val_total,val_landmark,val_angular_deg,val_landmark_px
1,1,9.76e-04,2.893887,0.000530,78.9022,0.000000,0.000000,0.000000,0.563498,1.899747,1.223359,0.000390,42.7467,7.7024
2,1,9.05e-04,1.988688,0.000344,77.8378,0.000000,0.000000,0.000000,0.395208,1.425432,1.175576,0.000375,42.7418,7.4048
3,1,7.94e-04,1.637323,0.000313,76.0959,0.000000,0.000000,0.000000,0.203591,1.109676,1.161690,0.000370,42.7004,7.3067
4,1,6.55e-04,1.329483,0.000233,75.7293,0.000000,0.000000,0.000000,0.136495,1.058019,0.820319,0.000262,42.6895,5.1378
5,1,5.00e-04,1.196194,0.000199,75.6371,0.000000,0.000000,0.000000,0.107266,1.036360,0.771647,0.000246,42.6817,4.8554
6,1,3.45e-04,1.105165,0.000176,75.6830,0.000000,0.000000,0.000000,0.087084,1.020817,0.764579,0.000244,42.6775,4.7911
7,1,2.06e-04,1.046362,0.000160,75.7917,0.000000,0.000000,0.000000,0.074571,1.011924,0.711152,0.000227,42.6968,4.4655
8,1,9.55e-05,1.000791,0.000148,75.8552,0.000000,0.000000,0.000000,0.065174,1.006635,0.677698,0.000216,42.7011,4.2577
9,1,2.45e-05,0.974480,0.000141,75.9018,0.000000,0.000000,0.000000,0.061106,1.005576,0.619694,0.000198,42.6963,3.8838
10,1,0.00e+00,0.967834,0.000138,75.9587,0.000000,0.000000,0.000000,0.062543,1.007955,0.560381,0.000179,42.7107,3.5112
11,2,2.93e-04,1.497219,0.000139,75.7180,0.000000,0.000000,0.000000,0.058426,1.002826,0.640292,0.000204,42.6923,4.0258
12,2,2.71e-04,1.475429,0.000133,75.6936,0.000000,0.000000,0.000000,0.056132,1.000754,0.615813,0.000196,42.6922,3.8700
13,2,2.38e-04,1.450752,0.000127,75.7165,0.000000,0.000000,0.000000,0.052668,0.998535,0.626331,0.000200,42.6906,3.9366
14,2,1.96e-04,1.428508,0.000122,75.6893,0.000000,0.000000,0.000000,0.049652,0.995532,0.576800,0.000184,42.6910,3.6198
15,2,1.50e-04,1.407627,0.000117,75.7043,0.000000,0.000000,0.000000,0.046905,0.993320,0.573907,0.000183,42.6897,3.6011
16,2,1.04e-04,1.389555,0.000113,75.7537,0.000000,0.000000,0.000000,0.044324,0.991215,0.571586,0.000182,42.6949,3.5874
17,2,6.18e-05,1.375617,0.000110,75.7475,0.000000,0.000000,0.000000,0.042283,0.989792,0.563785,0.000180,42.6889,3.5395
18,2,2.86e-05,1.366364,0.000107,75.7510,0.000000,0.000000,0.000000,0.041302,0.989018,0.545021,0.000174,42.6893,3.4166
19,2,7.34e-06,1.364151,0.000106,75.7676,0.000000,0.000000,0.000000,0.042101,0.989261,0.525395,0.000168,42.6895,3.2953
20,2,0.00e+00,1.371570,0.000107,75.7908,0.000000,0.000000,0.000000,0.045153,0.990566,0.501969,0.000160,42.6915,3.1490
