epoch,stage,phase,lr,train_total,train_landmark,train_angular_deg,train_reproj,train_mask,train_ray_target,train_pose,train_translation,val_total,val_landmark,val_angular_deg,val_landmark_px
6,2,2,2.93e-04,1.118030,0.000114,55.4003,0.260823,0.100846,0.449121,0.027900,0.956448,0.618719,0.000143,42.3090,2.8264
7,2,2,2.71e-04,1.081593,0.000114,46.0029,0.222893,0.100490,0.385193,0.028727,0.955891,0.554963,0.000128,35.7564,2.5292
8,2,2,2.38e-04,1.032429,0.000110,38.9166,0.192654,0.100289,0.329618,0.026523,0.951815,0.597619,0.000128,47.2722,2.5262
9,2,2,1.96e-04,0.998556,0.000109,33.1825,0.175315,0.103946,0.283860,0.024485,0.948929,0.573230,0.000139,33.0820,2.7218
10,2,2,1.50e-04,0.947381,0.000105,25.7248,0.137583,0.100580,0.222492,0.021977,0.946296,0.679279,0.000185,22.9404,3.6654
11,2,2,1.04e-04,0.912800,0.000102,21.9950,0.123381,0.101819,0.191276,0.019440,0.941043,0.473814,0.000128,16.9523,2.5130
12,2,2,6.18e-05,0.877941,0.000099,17.3382,0.097395,0.101215,0.152461,0.017620,0.938708,0.479165,0.000131,15.8612,2.5790
13,2,2,2.86e-05,0.858193,0.000097,14.5599,0.086055,0.102238,0.129267,0.016944,0.937230,0.461592,0.000125,15.9913,2.4673
14,2,2,7.34e-06,0.842091,0.000096,12.6154,0.076708,0.101938,0.113018,0.015698,0.935789,0.439146,0.000121,13.9353,2.3789
15,2,2,0.00e+00,0.835750,0.000096,11.5701,0.072742,0.102113,0.103665,0.015611,0.935415,0.420816,0.000118,12.1633,2.3128
16,2,3,9.76e-05,0.971352,0.000096,17.2259,0.095580,0.100437,0.151084,0.016511,0.935880,0.556702,0.000119,21.0868,2.3333
17,2,3,9.05e-05,0.964752,0.000095,16.6793,0.091718,0.098372,0.147387,0.016484,0.936207,0.519707,0.000122,15.7986,2.4051
18,2,3,7.94e-05,0.944224,0.000094,15.2955,0.087309,0.100784,0.135078,0.016697,0.935228,0.477776,0.000118,12.7917,2.3181
19,2,3,6.55e-05,0.933843,0.000093,14.5931,0.084578,0.099450,0.129759,0.016488,0.934783,0.514566,0.000122,15.0640,2.4086
20,2,3,5.00e-05,0.923539,0.000092,14.1062,0.078953,0.101195,0.125010,0.015391,0.933377,0.502715,0.000120,14.7333,2.3689
21,2,3,3.45e-05,0.900952,0.000091,12.3341,0.071542,0.100289,0.109724,0.015215,0.932739,0.511939,0.000125,13.9464,2.4611
22,2,3,2.06e-05,0.885372,0.000091,11.1687,0.065865,0.100068,0.101189,0.014642,0.932320,0.514954,0.000123,14.9948,2.4241
23,2,3,9.55e-06,0.875228,0.000091,10.3794,0.062217,0.103167,0.093418,0.014582,0.931703,0.483338,0.000118,13.0578,2.3270
24,2,3,2.45e-06,0.865389,0.000090,9.6421,0.059642,0.100441,0.087013,0.014502,0.931538,0.448705,0.000116,9.8765,2.2872
25,2,3,0.00e+00,0.862736,0.000091,9.2217,0.058026,0.102509,0.083930,0.014624,0.931362,0.449784,0.000116,10.0223,2.2858
