epoch,stage,phase,lr,train_total,train_landmark,train_angular_deg,train_reproj,train_mask,train_ray_target,train_pose,train_translation,val_total,val_landmark,val_angular_deg,val_landmark_px
1,3,1,9.05e-04,0.599529,0.000150,89.1581,0.000000,0.000000,0.000000,0.073876,0.048842,0.601085,0.000171,82.3065,3.3642
2,3,1,6.55e-04,0.524368,0.000138,90.1535,0.000000,0.000000,0.000000,0.042839,0.005323,0.614211,0.000177,76.8567,3.4577
3,3,1,3.45e-04,0.521473,0.000139,90.1305,0.000000,0.000000,0.000000,0.029725,0.003476,0.597408,0.000169,87.1033,3.3284
4,3,1,9.55e-05,0.476354,0.000127,89.9809,0.000000,0.000000,0.000000,0.020572,0.002047,0.567693,0.000159,89.4152,3.1360
5,3,1,0.00e+00,0.456179,0.000121,90.0110,0.000000,0.000000,0.000000,0.015235,0.001519,0.507949,0.000140,90.8717,2.7526
6,3,2,4.88e-04,1.047008,0.000193,90.0442,0.530426,0.094041,0.678529,0.065795,0.004279,0.939246,0.000193,88.5985,3.7952
7,3,2,4.52e-04,1.247511,0.000252,90.0126,0.529719,0.093330,0.678765,0.095056,0.004905,1.179227,0.000267,90.5944,5.2645
8,3,2,3.97e-04,1.463101,0.000319,89.9877,0.532084,0.094576,0.678581,0.104764,0.004288,1.447702,0.000354,89.5405,7.0089
9,3,2,3.27e-04,1.439008,0.000312,90.0024,0.531497,0.087862,0.679891,0.102199,0.004609,1.400588,0.000339,88.9992,6.6835
10,3,2,2.50e-04,1.887438,0.000442,89.9526,0.532559,0.105287,0.678737,0.182415,0.006317,1.826884,0.000469,95.7550,9.2971
11,3,2,1.73e-04,1.803671,0.000418,90.0740,0.531260,0.098326,0.678178,0.164598,0.005616,1.472199,0.000354,96.9197,7.0281
12,3,2,1.03e-04,1.728252,0.000395,89.9196,0.531632,0.089371,0.677900,0.159732,0.005281,1.565296,0.000391,89.6986,7.7638
13,3,2,4.77e-05,1.687879,0.000387,89.9490,0.531431,0.095304,0.677647,0.132067,0.004723,1.524867,0.000375,93.5888,7.3844
14,3,2,1.22e-05,1.646904,0.000377,90.1691,0.531311,0.088955,0.679225,0.107851,0.004352,1.314849,0.000308,93.9143,6.0735
15,3,2,0.00e+00,1.531989,0.000342,90.1541,0.530971,0.089800,0.679132,0.100132,0.004149,1.307915,0.000313,85.4338,6.1871
16,3,3,9.76e-05,1.481876,0.000350,89.9727,0.531240,0.084557,0.678114,0.099930,0.004121,1.244289,0.000341,95.9408,6.7297
