Iepoch,phase,lr,train_total,train_landmark,train_angular_deg,train_reproj,train_mask,train_ray_target,train_pose,train_translation,train_iris_seg,train_eyeball_seg,val_total,val_landmark,val_angular_deg,val_landmark_px,val_iris_seg,val_eyeball_seg
8,1,0.00e+00,0.519310,0.000159,69.8695,0.000000,0.000000,0.000000,0.014675,0.001187,0.003136,0.009645,0.758740,0.000235,65.6113,4.6054,0.004428,0.016445
9,1,1.90e-05,0.537503,0.000164,69.8257,0.000000,0.000000,0.000000,0.014758,0.001226,0.003331,0.012900,0.662919,0.000206,65.7296,4.0386,0.003709,0.013172
10,1,7.32e-05,0.511376,0.000157,69.8546,0.000000,0.000000,0.000000,0.012977,0.001130,0.003063,0.009228,0.590072,0.000184,66.0938,3.6012,0.003270,0.011101
11,1,1.54e-04,0.506566,0.000156,69.8033,0.000000,0.000000,0.000000,0.012428,0.001089,0.003018,0.008847,0.532760,0.000165,65.9077,3.2409,0.003227,0.011152
12,1,2.50e-04,0.507395,0.000155,69.7453,0.000000,0.000000,0.000000,0.014316,0.001199,0.003008,0.009023,0.524406,0.000162,65.7211,3.1767,0.003455,0.013092
13,1,3.46e-04,0.516551,0.000157,69.7124,0.000000,0.000000,0.000000,0.019999,0.001402,0.003053,0.009319,0.556924,0.000167,65.8680,3.2742,0.004822,0.028645
14,1,4.27e-04,0.522895,0.000159,69.7321,0.000000,0.000000,0.000000,0.023459,0.001871,0.003068,0.009409,0.716434,0.000202,65.5326,3.9538,0.010184,0.074018
15,1,4.81e-04,0.520566,0.000157,69.7679,0.000000,0.000000,0.000000,0.029361,0.001794,0.003016,0.009182,0.825849,0.000224,65.5262,4.4123,0.014991,0.107877
16,2,2.97e-04,16.124756,0.000169,49.0474,0.000000,0.000000,0.000000,0.000000,0.000000,0.007208,0.023695,0.795901,0.000198,47.3012,3.8819,0.006841,0.050023
17,2,2.87e-04,4.598137,0.000169,43.4538,0.000000,0.000000,0.000000,0.000000,0.000000,0.008060,0.024529,0.813505,0.000181,47.9356,3.5585,0.011184,0.069527
18,2,2.71e-04,4.270727,0.000169,37.6739,0.000000,0.000000,0.000000,0.000000,0.000000,0.007677,0.022231,0.808009,0.000171,46.8277,3.3642,0.013829,0.087674
19,2,2.50e-04,3.881852,0.000169,34.7848,0.000000,0.000000,0.000000,0.000000,0.000000,0.007204,0.019965,0.802192,0.000167,46.4716,3.2940,0.013335,0.088117
20,2,2.25e-04,3.636306,0.000169,33.9627,0.000000,0.000000,0.000000,0.000000,0.000000,0.006829,0.018739,0.749032,0.000164,44.2776,3.2286,0.009415,0.051121
