epoch,phase,lr,train_total,train_landmark,train_angular_deg,train_reproj,train_mask,train_ray_target,train_pose,train_translation,train_iris_seg,train_eyeball_seg,val_total,val_landmark,val_angular_deg,val_landmark_px,val_iris_seg,val_eyeball_seg
1,1,9.89e-04,2.167844,0.000380,58.3908,0.000000,0.000000,0.000000,0.176342,0.028512,0.508688,0.364873,1.157372,0.000214,57.8589,4.0566,0.273351,0.211615
2,1,9.57e-04,1.060189,0.000195,58.3970,0.000000,0.000000,0.000000,0.045352,0.003954,0.264732,0.159833,0.990772,0.000177,57.8132,3.4464,0.251862,0.184084
3,1,9.05e-04,0.856295,0.000155,58.4024,0.000000,0.000000,0.000000,0.026634,0.002344,0.224288,0.129943,0.818089,0.000147,57.8513,2.8776,0.206083,0.151618
4,1,8.35e-04,0.750529,0.000135,58.4015,0.000000,0.000000,0.000000,0.018223,0.001578,0.202091,0.115285,0.790441,0.000141,57.8264,2.7859,0.199773,0.147864
5,1,7.50e-04,0.681527,0.000121,58.3788,0.000000,0.000000,0.000000,0.013357,0.001098,0.188797,0.106151,0.731676,0.000131,57.8299,2.5851,0.184591,0.136068
6,1,6.55e-04,0.627325,0.000110,58.3486,0.000000,0.000000,0.000000,0.009909,0.000781,0.178563,0.099590,0.685457,0.000120,57.7910,2.3706,0.176711,0.131762
7,1,5.52e-04,0.584144,0.000100,58.3283,0.000000,0.000000,0.000000,0.007774,0.000499,0.171184,0.094464,0.662092,0.000112,57.7748,2.2134,0.179225,0.130499
8,1,4.48e-04,0.548968,0.000092,58.3181,0.000000,0.000000,0.000000,0.006239,0.000325,0.165560,0.090495,0.644350,0.000110,57.7653,2.1735,0.172780,0.126007
9,1,3.45e-04,0.519492,0.000086,58.3158,0.000000,0.000000,0.000000,0.004495,0.000208,0.160944,0.087194,0.601768,0.000101,57.7521,1.9804,0.167763,0.118792
10,1,2.50e-04,0.496061,0.000081,58.3363,0.000000,0.000000,0.000000,0.003656,0.000138,0.157000,0.084675,0.597154,0.000099,57.7929,1.9546,0.165973,0.119888
11,1,1.65e-04,0.478006,0.000076,58.3454,0.000000,0.000000,0.000000,0.003005,0.000087,0.154373,0.082838,0.581981,0.000096,57.7925,1.8927,0.162554,0.117983
12,1,9.55e-05,0.465700,0.000073,58.3419,0.000000,0.000000,0.000000,0.002687,0.000057,0.152414,0.081933,0.578438,0.000095,57.8001,1.8650,0.163054,0.118060
13,1,4.32e-05,0.459835,0.000072,58.3437,0.000000,0.000000,0.000000,0.002494,0.000040,0.151937,0.082200,0.567763,0.000093,57.7984,1.8320,0.161122,0.114584
14,1,1.09e-05,0.461654,0.000071,58.3400,0.000000,0.000000,0.000000,0.002432,0.000033,0.152548,0.084124,0.556961,0.000092,57.8018,1.8038,0.161097,0.108330
15,1,0.00e+00,0.473645,0.000073,58.3406,0.000000,0.000000,0.000000,0.002532,0.000031,0.154275,0.088021,0.518475,0.000087,57.8065,1.7189,0.151493,0.092972
16,2,2.97e-04,12.102511,0.000082,46.1261,0.000000,0.000000,0.000000,0.000000,0.000000,0.159995,0.093109,0.636166,0.000087,28.7010,1.7027,0.165718,0.123587
17,2,2.87e-04,3.822099,0.000082,37.4540,0.000000,0.000000,0.000000,0.000000,0.000000,0.142210,0.078617,0.693019,0.000087,32.8417,1.7017,0.159758,0.119573
18,2,2.71e-04,3.452925,0.000082,34.7190,0.000000,0.000000,0.000000,0.000000,0.000000,0.134186,0.071878,0.414619,0.000087,15.9047,1.7010,0.146945,0.115609
19,2,2.50e-04,3.088260,0.000082,31.2111,0.000000,0.000000,0.000000,0.000000,0.000000,0.129801,0.067876,0.421143,0.000087,17.1526,1.7021,0.144742,0.111522
20,2,2.25e-04,2.803496,0.000082,29.0625,0.000000,0.000000,0.000000,0.000000,0.000000,0.126388,0.064639,0.877322,0.000087,45.0063,1.7000,0.138482,0.110730
21,2,1.96e-04,2.575891,0.000082,27.8833,0.000000,0.000000,0.000000,0.000000,0.000000,0.123771,0.062217,0.561810,0.000087,24.3404,1.7012,0.141523,0.105143
22,2,1.66e-04,2.328647,0.000082,27.6851,0.000000,0.000000,0.000000,0.000000,0.000000,0.121385,0.060252,0.407895,0.000087,16.1122,1.7003,0.138467,0.105442
23,2,1.34e-04,2.054073,0.000082,25.1938,0.000000,0.000000,0.000000,0.000000,0.000000,0.119371,0.058368,0.405698,0.000087,16.0624,1.7012,0.142286,0.103815
24,2,1.04e-04,1.744157,0.000082,22.2206,0.000000,0.000000,0.000000,0.000000,0.000000,0.117822,0.057041,0.427546,0.000087,17.9774,1.7050,0.138023,0.102862
25,2,7.50e-05,1.480779,0.000082,20.2976,0.000000,0.000000,0.000000,0.000000,0.000000,0.116687,0.056000,0.377517,0.000087,14.7904,1.7032,0.140940,0.101112
26,2,4.96e-05,1.257741,0.000082,18.1441,0.000000,0.000000,0.000000,0.000000,0.000000,0.116304,0.055584,0.478288,0.000087,20.4329,1.7021,0.140120,0.098287
27,2,2.86e-05,1.085215,0.000082,16.3294,0.000000,0.000000,0.000000,0.000000,0.000000,0.116205,0.055747,0.491120,0.000087,21.0564,1.7028,0.136978,0.096344
