epoch,phase,lr,train_total,train_landmark,train_angular_deg,train_reproj,train_mask,train_ray_target,train_pose,train_translation,train_iris_seg,train_eyeball_seg,val_total,val_landmark,val_angular_deg,val_landmark_px,val_iris_seg,val_eyeball_seg
1,1,1.00e-03,1.586258,0.000472,92.6281,0.000000,0.000000,0.000000,0.210776,0.000000,0.000000,0.000000,1.018070,0.000325,87.7745,5.5472,0.000000,0.000000
2,1,1.00e-03,0.771585,0.000238,93.1330,0.000000,0.000000,0.000000,0.050816,0.000000,0.000000,0.000000,0.740855,0.000236,88.5985,4.4558,0.000000,0.000000
3,1,1.00e-03,0.594346,0.000185,93.4384,0.000000,0.000000,0.000000,0.027963,0.000000,0.000000,0.000000,0.620636,0.000198,88.1880,3.8381,0.000000,0.000000
4,1,1.00e-03,0.513333,0.000161,93.1183,0.000000,0.000000,0.000000,0.019165,0.000000,0.000000,0.000000,0.580075,0.000185,89.9247,3.6056,0.000000,0.000000
5,1,1.00e-03,0.461252,0.000145,93.1779,0.000000,0.000000,0.000000,0.014293,0.000000,0.000000,0.000000,0.489924,0.000156,90.5665,3.0574,0.000000,0.000000
6,1,1.00e-03,0.423651,0.000133,93.1569,0.000000,0.000000,0.000000,0.011398,0.000000,0.000000,0.000000,0.431509,0.000138,90.8445,2.7002,0.000000,0.000000
7,1,1.00e-03,0.395347,0.000125,92.8723,0.000000,0.000000,0.000000,0.009303,0.000000,0.000000,0.000000,0.429706,0.000137,89.5763,2.6929,0.000000,0.000000
8,1,1.00e-03,0.373912,0.000118,93.1741,0.000000,0.000000,0.000000,0.007855,0.000000,0.000000,0.000000,0.400949,0.000128,92.1715,2.5169,0.000000,0.000000
9,1,1.00e-03,0.355716,0.000112,93.9577,0.000000,0.000000,0.000000,0.007351,0.000000,0.000000,0.000000,0.424287,0.000135,93.0535,2.6704,0.000000,0.000000
10,1,1.00e-03,0.339704,0.000107,95.4375,0.000000,0.000000,0.000000,0.006612,0.000000,0.000000,0.000000,0.388161,0.000124,95.0578,2.4319,0.000000,0.000000
11,1,1.00e-03,0.325050,0.000103,95.9170,0.000000,0.000000,0.000000,0.006157,0.000000,0.000000,0.000000,0.406462,0.000130,94.0961,2.5571,0.000000,0.000000
