epoch,phase,lr,train_total,train_landmark,train_angular_deg,train_reproj,train_mask,train_ray_target,train_pose,train_translation,train_iris_seg,train_eyeball_seg,val_total,val_landmark,val_angular_deg,val_landmark_px,val_iris_seg,val_eyeball_seg
1,1,4.81e-04,9.939311,0.000618,66.3373,0.000000,0.000000,0.000000,0.412103,0.082920,0.246374,0.286551,9.146568,0.002677,125.2106,51.4196,0.339450,0.322621
2,1,4.27e-04,4.644249,0.000328,62.0916,0.000000,0.000000,0.000000,0.226011,0.013147,0.017432,0.055282,9.306726,0.002789,118.9297,54.6288,0.103983,0.187501
3,1,3.46e-04,3.875188,0.000287,57.8546,0.000000,0.000000,0.000000,0.138545,0.011561,0.008319,0.025203,8.240580,0.002485,95.0982,48.6430,0.034987,0.119878
4,1,2.50e-04,3.072700,0.000245,51.2698,0.000000,0.000000,0.000000,0.098968,0.009598,0.005930,0.017698,3.978392,0.001154,72.9810,22.6063,0.023774,0.109869
5,1,1.54e-04,2.291306,0.000206,46.3984,0.000000,0.000000,0.000000,0.077607,0.005909,0.004893,0.014447,2.945284,0.000843,60.1521,15.9423,0.017306,0.090842
6,1,7.32e-05,1.764186,0.000180,38.8296,0.000000,0.000000,0.000000,0.061378,0.003919,0.004306,0.012802,2.433151,0.000703,50.4846,13.0829,0.006969,0.027511
7,1,1.90e-05,1.375865,0.000166,34.2852,0.000000,0.000000,0.000000,0.052323,0.002778,0.003989,0.012103,1.968203,0.000570,40.5759,10.6424,0.004968,0.015845
8,1,0.00e+00,1.219886,0.000160,31.7696,0.000000,0.000000,0.000000,0.049143,0.002527,0.003845,0.012025,1.528506,0.000442,30.8579,8.3412,0.004044,0.012659
9,2,2.89e-04,3.451856,0.000172,49.9748,0.191192,0.087411,0.397366,0.065683,0.005335,0.004160,0.012582,1.749200,0.000469,30.9812,8.8473,0.004332,0.015019
10,2,2.56e-04,3.403119,0.000163,45.1712,0.178520,0.091583,0.368310,0.062274,0.004705,0.004051,0.012389,1.719017,0.000469,27.5254,8.8207,0.004165,0.014737
11,2,2.07e-04,2.988385,0.000153,41.9607,0.173919,0.092691,0.345922,0.053151,0.004182,0.003829,0.011735,1.608133,0.000436,26.8526,8.1932,0.003846,0.013433
12,2,1.50e-04,2.497237,0.000144,37.5045,0.171527,0.094292,0.314547,0.044782,0.003086,0.003621,0.010845,1.446153,0.000390,24.5944,7.3733,0.003453,0.011319
13,2,9.26e-05,2.208718,0.000137,35.5817,0.180797,0.097399,0.299545,0.036551,0.002588,0.003502,0.010586,1.217046,0.000322,23.0175,6.1487,0.003358,0.010772
14,2,4.39e-05,1.794945,0.000130,29.3842,0.179691,0.099507,0.252488,0.030406,0.002111,0.003325,0.010172,0.980599,0.000249,21.9661,4.8295,0.003150,0.010246
15,2,1.14e-05,1.553615,0.000126,26.1755,0.180753,0.099542,0.227952,0.026469,0.001898,0.003243,0.009974,0.819156,0.000199,21.6461,3.8949,0.003068,0.010033
16,2,0.00e+00,1.440512,0.000125,24.4888,0.183779,0.099857,0.214451,0.024589,0.001782,0.003211,0.010162,0.712246,0.000165,21.5308,3.2433,0.003050,0.009916
17,3,9.70e-05,1.654096,0.000125,29.0650,0.171551,0.099198,0.250170,0.028194,0.002165,0.003237,0.009910,0.418437,0.000150,20.4489,2.9482,0.003073,0.009837
18,3,8.83e-05,1.661653,0.000124,29.0696,0.170246,0.098133,0.250121,0.027839,0.002195,0.003229,0.009896,0.429950,0.000145,23.1183,2.8562,0.002980,0.009640
19,3,7.50e-05,1.577729,0.000122,27.7247,0.172323,0.097936,0.238246,0.026578,0.002138,0.003187,0.009816,0.419340,0.000137,23.4425,2.6929,0.002947,0.009726
20,3,5.87e-05,1.514205,0.000119,27.7300,0.170193,0.097707,0.239259,0.024749,0.002022,0.003157,0.009752,0.408495,0.000135,22.5410,2.6591,0.002912,0.009603
21,3,4.13e-05,1.392173,0.000116,25.7099,0.169964,0.097186,0.222789,0.023303,0.001973,0.003103,0.009660,0.388342,0.000128,21.4234,2.5179,0.002873,0.009618
22,3,2.50e-05,1.315957,0.000115,24.7603,0.171924,0.099901,0.215410,0.022100,0.001879,0.003084,0.009643,0.377509,0.000125,20.5930,2.4593,0.002925,0.009962
23,3,1.17e-05,1.239784,0.000114,23.5923,0.173314,0.100817,0.205004,0.021164,0.001810,0.003070,0.009643,0.377031,0.000125,20.5264,2.4591,0.002973,0.009766
24,3,3.02e-06,1.198878,0.000113,22.9298,0.174454,0.098630,0.199481,0.020795,0.001800,0.003057,0.009738,0.374285,0.000123,20.5990,2.4195,0.002933,0.009780
25,3,0.00e+00,1.189892,0.000114,22.5276,0.175114,0.098779,0.196179,0.020850,0.001782,0.003056,0.009807,0.377826,0.000123,21.0254,2.4222,0.002898,0.009713
