epoch,phase,lr,train_total,train_landmark,train_angular_deg,train_reproj,train_mask,train_ray_target,train_pose,train_translation,train_iris_seg,train_eyeball_seg,val_total,val_landmark,val_angular_deg,val_landmark_px,val_iris_seg,val_eyeball_seg
20,3,2.97e-04,3.433186,0.000113,37.2218,0.000000,0.000000,0.000000,0.031841,0.002204,0.005365,0.014594,0.748543,0.000132,33.0965,2.6033,0.005237,0.022198
21,3,2.89e-04,3.131562,0.000112,34.6962,0.000000,0.000000,0.000000,0.026946,0.002056,0.004528,0.011230,0.728973,0.000135,31.1014,2.6676,0.005065,0.020032
22,3,2.75e-04,3.090087,0.000109,34.6136,0.000000,0.000000,0.000000,0.025632,0.001792,0.004164,0.010681,0.596632,0.000145,21.4262,2.8535,0.004492,0.017241
23,3,2.56e-04,3.071845,0.000108,35.2183,0.000000,0.000000,0.000000,0.024791,0.001700,0.004175,0.010560,0.611209,0.000165,20.3614,3.2280,0.003905,0.014278
24,3,2.33e-04,2.898935,0.000105,33.8980,0.000000,0.000000,0.000000,0.022019,0.001425,0.004059,0.010462,0.564864,0.000173,16.6016,3.3613,0.003537,0.011729
25,3,2.07e-04,2.667753,0.000102,30.7906,0.000000,0.000000,0.000000,0.020115,0.001249,0.004101,0.010619,0.566226,0.000162,18.0691,3.1542,0.003309,0.010740
26,3,1.79e-04,2.533798,0.000100,30.1729,0.000000,0.000000,0.000000,0.018403,0.001132,0.003922,0.010534,0.481048,0.000162,12.8797,3.1518,0.003230,0.010215
27,3,1.50e-04,2.336026,0.000097,28.6153,0.000000,0.000000,0.000000,0.016762,0.000930,0.003999,0.010712,0.448837,0.000147,12.4871,2.8708,0.003074,0.009669
28,3,1.21e-04,2.159535,0.000094,27.0137,0.000000,0.000000,0.000000,0.014264,0.000837,0.004044,0.010938,0.441560,0.000142,12.4314,2.7823,0.002905,0.009695
29,3,9.26e-05,1.958012,0.000093,25.0713,0.000000,0.000000,0.000000,0.012815,0.000734,0.004182,0.011377,0.423459,0.000129,12.6093,2.5367,0.002930,0.009503
30,3,6.67e-05,1.752378,0.000090,22.7121,0.000000,0.000000,0.000000,0.011951,0.000671,0.004256,0.011391,0.419205,0.000124,12.8341,2.4350,0.002895,0.009710
31,3,4.39e-05,1.607901,0.000089,21.2082,0.000000,0.000000,0.000000,0.011176,0.000633,0.004180,0.011377,0.421161,0.000115,13.8524,2.2695,0.002911,0.009599
32,3,2.53e-05,1.468853,0.000088,19.6691,0.000000,0.000000,0.000000,0.010801,0.000580,0.004165,0.011229,0.426543,0.000113,14.3784,2.2201,0.002916,0.009690
33,3,1.14e-05,1.392967,0.000087,18.9862,0.000000,0.000000,0.000000,0.010547,0.000573,0.004134,0.011057,0.422171,0.000107,14.5700,2.1162,0.003044,0.009791
34,3,2.88e-06,1.358038,0.000087,18.5405,0.000000,0.000000,0.000000,0.010409,0.000567,0.004217,0.011211,0.422798,0.000104,14.9709,2.0500,0.003091,0.009750
35,3,0.00e+00,1.351983,0.000087,18.2505,0.000000,0.000000,0.000000,0.010500,0.000562,0.004238,0.011130,0.428219,0.000104,15.2994,2.0384,0.003195,0.009818
